Time (ms),ax_m_s2,ay_m_s2,az_m_s2,gx_rad_s,gy_rad_s,gz_rad_s,Voltage (V),Current (A),Pressure (Pa),Temperature (C),Altitude (m),FlightPhase
28140,0.29,0.25,9.71,0.008,-0.012,0.005,12.443,33.39,100447.5,27.52,73.1,DISTANCE
28150,-0.19,0.30,9.93,-0.021,-0.021,0.004,12.443,33.41,100447.5,27.52,73.1,DISTANCE
28160,0.01,-0.21,9.88,0.001,0.004,0.011,12.443,33.42,100447.4,27.52,73.1,DISTANCE
28170,-0.00,0.01,9.94,0.021,-0.016,0.005,12.443,33.44,100447.3,27.52,73.1,DISTANCE
28180,0.14,-0.10,9.97,-0.024,-0.002,0.014,12.443,33.45,100447.2,27.52,73.2,DISTANCE
28190,0.07,0.15,9.95,-0.002,0.024,0.010,12.443,33.46,100447.1,27.52,73.2,DISTANCE
28200,-0.10,0.29,9.79,-0.021,-0.022,0.005,12.443,33.48,100447.0,27.52,73.2,DISTANCE
28210,0.28,0.26,9.70,0.023,-0.021,-0.002,12.443,33.49,100446.9,27.52,73.2,DISTANCE
28220,0.11,0.07,9.76,0.004,-0.016,0.004,12.443,33.50,100446.8,27.52,73.2,DISTANCE
28230,0.21,-0.20,9.70,0.003,0.022,0.009,12.443,33.52,100446.8,27.52,73.2,DISTANCE
28240,0.08,-0.11,9.81,-0.003,0.013,0.003,12.443,33.53,100446.7,27.52,73.2,DISTANCE
28250,0.14,-0.19,9.99,-0.007,0.011,0.012,12.443,33.54,100446.6,27.52,73.2,DISTANCE
28260,0.16,-0.02,9.85,-0.000,-0.022,-0.004,12.443,33.56,100446.5,27.52,73.2,DISTANCE
28270,0.02,-0.29,9.74,0.023,-0.007,0.009,12.442,33.57,100446.4,27.52,73.2,DISTANCE
28280,0.14,-0.30,9.99,0.023,0.021,0.007,12.442,33.59,100446.3,27.52,73.2,DISTANCE
28290,-0.22,0.07,9.96,-0.019,-0.015,0.013,12.442,33.60,100446.2,27.52,73.2,DISTANCE
28300,-0.16,0.25,9.90,-0.012,0.007,0.015,12.442,33.61,100446.1,27.52,73.2,DISTANCE
28310,0.27,-0.19,9.99,-0.016,-0.004,0.003,12.442,33.63,100446.1,27.52,73.2,DISTANCE
28320,0.17,0.19,9.88,0.016,-0.001,0.014,12.442,33.64,100446.0,27.52,73.3,DISTANCE
28330,-0.18,0.22,9.73,-0.018,0.011,-0.003,12.442,33.65,100445.9,27.52,73.3,DISTANCE
28340,0.10,-0.04,9.99,0.015,-0.004,0.011,12.442,33.67,100445.8,27.52,73.3,DISTANCE
28350,-0.04,0.02,9.91,0.014,0.015,0.002,12.442,33.68,100445.7,27.52,73.3,DISTANCE
28360,-0.13,0.22,9.70,0.022,-0.023,0.016,12.442,33.69,100445.6,27.52,73.3,DISTANCE
28370,-0.10,0.03,9.83,-0.009,-0.001,0.008,12.442,33.71,100445.5,27.52,73.3,DISTANCE
28380,0.09,-0.18,9.94,-0.011,-0.015,0.012,12.442,33.72,100445.4,27.52,73.3,DISTANCE
28390,0.20,-0.26,9.74,-0.006,0.005,0.015,12.442,33.73,100445.3,27.52,73.3,DISTANCE
28400,-0.03,0.23,9.92,0.015,-0.010,0.009,12.442,33.75,100445.2,27.52,73.3,DISTANCE
28410,-0.09,-0.17,9.83,-0.002,-0.005,0.009,12.442,33.76,100445.1,27.52,73.3,DISTANCE
28420,0.06,0.23,9.73,-0.022,-0.004,0.013,12.441,33.77,100445.1,27.52,73.3,DISTANCE
28430,0.26,0.11,9.92,0.015,0.006,-0.004,12.441,33.78,100445.0,27.52,73.3,DISTANCE
28440,0.19,-0.18,9.93,0.007,0.009,0.011,12.441,33.80,100444.9,27.52,73.3,DISTANCE
28450,-0.12,0.10,9.80,-0.002,-0.018,-0.003,12.441,33.81,100444.8,27.52,73.4,DISTANCE
28460,-0.14,0.02,9.86,-0.018,0.009,-0.002,12.441,33.82,100444.7,27.52,73.4,DISTANCE
28470,-0.07,0.09,9.77,0.019,-0.003,0.005,12.441,33.84,100444.6,27.52,73.4,DISTANCE
28480,-0.23,-0.22,9.71,0.001,0.025,0.010,12.441,33.85,100444.5,27.52,73.4,DISTANCE
28490,-0.16,0.06,9.85,0.016,0.011,0.004,12.441,33.86,100444.4,27.52,73.4,DISTANCE
28500,0.10,-0.04,9.94,-0.017,-0.021,0.004,12.441,33.87,100444.3,27.52,73.4,DISTANCE
28510,-0.20,0.11,9.85,0.015,-0.015,0.007,12.441,33.89,100444.2,27.52,73.4,DISTANCE
28520,-0.26,0.09,9.77,-0.025,0.014,0.001,12.441,33.90,100444.1,27.52,73.4,DISTANCE
28530,-0.22,-0.29,9.70,-0.013,-0.025,0.008,12.441,33.91,100444.0,27.52,73.4,DISTANCE
28540,0.07,-0.25,9.73,0.017,0.025,0.008,12.441,33.93,100443.9,27.52,73.4,DISTANCE
28550,-0.14,0.25,9.89,-0.001,0.001,-0.001,12.441,33.94,100443.8,27.52,73.4,DISTANCE
28560,0.20,-0.25,9.93,-0.015,-0.009,-0.004,12.441,33.95,100443.7,27.52,73.4,DISTANCE
28570,-0.19,0.03,9.80,-0.010,-0.023,0.004,12.441,33.96,100443.6,27.52,73.4,DISTANCE
28580,0.12,-0.00,9.75,0.003,0.018,0.016,12.441,33.98,100443.5,27.52,73.5,DISTANCE
28590,-0.29,-0.09,9.83,0.015,0.007,0.003,12.440,33.99,100443.4,27.52,73.5,DISTANCE
28600,0.23,0.26,9.96,-0.004,-0.009,0.002,12.440,34.00,100443.4,27.52,73.5,DISTANCE
28610,0.30,0.15,9.76,-0.012,-0.021,-0.001,12.440,34.01,100443.3,27.52,73.5,DISTANCE
28620,0.25,0.26,9.72,0.006,-0.004,0.002,12.440,34.03,100443.2,27.52,73.5,DISTANCE
28630,0.21,-0.09,9.91,-0.001,-0.016,-0.000,12.440,34.04,100443.1,27.52,73.5,DISTANCE
28640,-0.20,0.09,9.81,-0.002,-0.017,0.016,12.440,34.05,100443.0,27.52,73.5,DISTANCE
28650,-0.23,-0.24,9.75,-0.019,0.014,0.015,12.440,34.06,100442.9,27.52,73.5,DISTANCE
28660,0.14,-0.18,9.90,-0.014,-0.022,0.011,12.440,34.08,100442.8,27.52,73.5,DISTANCE
28670,0.26,-0.16,9.85,0.018,0.018,-0.004,12.440,34.09,100442.7,27.52,73.5,DISTANCE
28680,0.29,0.01,9.76,-0.009,-0.009,0.013,12.440,34.10,100442.6,27.52,73.5,DISTANCE
28690,-0.12,0.23,9.90,0.008,0.004,0.011,12.440,34.11,100442.5,27.52,73.5,DISTANCE
28700,-0.27,0.00,9.75,-0.012,-0.018,0.014,12.440,34.12,100442.4,27.52,73.6,DISTANCE
28710,-0.19,-0.06,9.95,-0.023,0.024,0.004,12.440,34.14,100442.3,27.52,73.6,DISTANCE
28720,0.03,-0.12,9.98,-0.022,-0.024,-0.001,12.440,34.15,100442.2,27.52,73.6,DISTANCE
28730,0.18,0.22,9.75,0.003,-0.014,0.003,12.440,34.16,100442.1,27.52,73.6,DISTANCE
28740,0.17,-0.14,9.88,-0.023,-0.005,0.010,12.440,34.17,100442.0,27.52,73.6,DISTANCE
28750,0.27,0.12,9.77,-0.011,-0.009,0.009,12.440,34.18,100441.9,27.52,73.6,DISTANCE
28760,-0.08,0.26,9.96,0.012,-0.020,0.012,12.439,34.20,100441.8,27.52,73.6,DISTANCE
28770,-0.02,-0.16,9.82,-0.001,-0.004,0.015,12.439,34.21,100441.7,27.52,73.6,DISTANCE
28780,-0.17,0.00,9.72,0.014,-0.024,-0.000,12.439,34.22,100441.6,27.52,73.6,DISTANCE
28790,-0.09,0.09,9.83,-0.004,0.009,0.015,12.439,34.23,100441.5,27.52,73.6,DISTANCE
28800,-0.12,0.17,9.96,-0.023,0.017,0.010,12.439,34.24,100441.4,27.52,73.6,DISTANCE
28810,-0.03,0.22,9.84,-0.005,0.021,-0.000,12.439,34.26,100441.3,27.52,73.6,DISTANCE
28820,0.22,-0.30,9.93,0.001,0.006,0.014,12.439,34.27,100441.2,27.52,73.7,DISTANCE
28830,-0.11,-0.04,9.74,-0.004,0.004,0.000,12.439,34.28,100441.1,27.52,73.7,DISTANCE
28840,-0.16,0.25,9.79,0.020,0.002,0.011,12.439,34.29,100441.0,27.52,73.7,DISTANCE
28850,-0.17,-0.00,9.91,-0.015,0.024,0.016,12.439,34.30,100440.9,27.52,73.7,DISTANCE
28860,0.17,0.28,9.85,-0.010,0.015,0.016,12.439,34.31,100440.8,27.52,73.7,DISTANCE
28870,0.22,-0.03,9.92,0.001,-0.004,0.007,12.439,34.33,100440.7,27.52,73.7,DISTANCE
28880,0.22,-0.25,9.74,-0.022,0.018,0.008,12.439,34.34,100440.6,27.52,73.7,DISTANCE
28890,-0.19,-0.16,9.89,0.009,-0.022,-0.003,12.439,34.35,100440.5,27.52,73.7,DISTANCE
28900,0.04,-0.09,9.80,-0.006,-0.009,0.016,12.439,34.36,100440.3,27.52,73.7,DISTANCE
28910,-0.07,0.05,9.87,-0.008,0.012,0.012,12.439,34.37,100440.2,27.52,73.7,DISTANCE
28920,0.22,-0.22,9.93,0.001,-0.003,0.012,12.439,34.38,100440.1,27.52,73.7,DISTANCE
28930,0.10,-0.02,9.83,0.001,-0.009,-0.001,12.438,34.39,100440.0,27.52,73.7,DISTANCE
28940,-0.18,0.23,9.88,0.008,0.018,-0.003,12.438,34.41,100439.9,27.52,73.8,DISTANCE
28950,0.12,0.10,9.72,-0.022,-0.009,0.008,12.438,34.42,100439.8,27.52,73.8,DISTANCE
28960,0.01,-0.17,9.90,0.024,-0.017,0.006,12.438,34.43,100439.7,27.52,73.8,DISTANCE
28970,0.02,0.19,9.93,-0.006,0.013,0.013,12.438,34.44,100439.6,27.52,73.8,DISTANCE
28980,-0.11,-0.14,9.95,-0.015,0.008,0.008,12.438,34.45,100439.5,27.52,73.8,DISTANCE
28990,0.04,0.04,9.77,-0.000,0.024,0.012,12.438,34.46,100439.4,27.52,73.8,DISTANCE
29000,-0.06,-0.12,9.98,-0.017,0.003,0.009,12.438,34.47,100439.3,27.52,73.8,DISTANCE
29010,-0.24,0.02,9.76,-0.003,-0.020,0.015,12.438,34.48,100439.2,27.52,73.8,DISTANCE
29020,0.15,-0.23,9.90,0.008,0.024,0.004,12.438,34.49,100439.1,27.52,73.8,DISTANCE
29030,-0.25,0.28,9.70,-0.007,0.006,0.015,12.438,34.51,100439.0,27.52,73.8,DISTANCE
29040,-0.26,0.15,9.74,-0.003,-0.016,0.004,12.438,34.52,100438.9,27.52,73.8,DISTANCE
29050,-0.03,0.25,9.79,-0.005,0.019,0.006,12.438,34.53,100438.8,27.52,73.9,DISTANCE
29060,0.19,-0.20,9.91,0.008,-0.017,0.014,12.438,34.54,100438.7,27.52,73.9,DISTANCE
29070,-0.20,0.25,9.75,0.012,-0.007,0.007,12.438,34.55,100438.6,27.52,73.9,DISTANCE
29080,0.08,0.10,9.85,-0.012,-0.017,0.011,12.438,34.56,100438.4,27.52,73.9,DISTANCE
29090,-0.04,0.11,9.73,-0.014,-0.017,0.000,12.438,34.57,100438.3,27.52,73.9,DISTANCE
29100,0.03,0.22,9.76,0.004,0.008,0.009,12.438,34.58,100438.2,27.52,73.9,DISTANCE
29110,-0.18,0.15,9.99,0.002,-0.020,-0.002,12.438,34.59,100438.1,27.52,73.9,DISTANCE
29120,0.09,-0.20,9.97,-0.012,0.003,0.003,12.437,34.60,100438.0,27.52,73.9,DISTANCE
29130,0.08,0.12,9.76,-0.019,-0.011,0.003,12.437,34.61,100437.9,27.52,73.9,DISTANCE
29140,-0.17,0.09,9.80,-0.023,0.020,0.015,12.437,34.62,100437.8,27.52,73.9,DISTANCE
29150,0.12,-0.13,9.91,-0.019,0.023,0.000,12.437,34.63,100437.7,27.52,73.9,DISTANCE
29160,0.06,-0.23,9.73,0.022,0.021,-0.000,12.437,34.64,100437.6,27.52,74.0,DISTANCE
29170,-0.14,-0.18,9.81,-0.002,0.017,-0.002,12.437,34.66,100437.5,27.52,74.0,DISTANCE
29180,0.02,0.07,9.82,0.003,0.004,0.000,12.437,34.67,100437.4,27.52,74.0,DISTANCE
29190,-0.18,0.05,9.78,-0.016,0.015,0.012,12.437,34.68,100437.2,27.52,74.0,DISTANCE
29200,-0.13,-0.03,9.78,0.019,0.013,0.016,12.437,34.69,100437.1,27.52,74.0,DISTANCE
29210,-0.22,0.11,9.76,0.024,0.006,-0.000,12.437,34.70,100437.0,27.52,74.0,DISTANCE
29220,-0.15,-0.27,10.01,-0.019,0.019,-0.001,12.437,34.71,100436.9,27.52,74.0,DISTANCE
29230,-0.28,-0.20,9.91,-0.015,-0.005,0.013,12.437,34.72,100436.8,27.52,74.0,DISTANCE
29240,-0.01,-0.26,9.80,-0.004,-0.024,0.002,12.437,34.73,100436.7,27.52,74.0,DISTANCE
29250,-0.08,-0.17,9.89,0.006,-0.023,0.014,12.437,34.74,100436.6,27.52,74.0,DISTANCE
29260,0.04,0.02,9.75,-0.023,-0.022,0.005,12.437,34.75,100436.5,27.52,74.0,DISTANCE
29270,0.17,0.04,9.91,-0.024,-0.010,0.015,12.437,34.76,100436.4,27.52,74.1,DISTANCE
29280,0.28,0.12,9.72,-0.010,0.009,0.004,12.437,34.77,100436.2,27.52,74.1,DISTANCE
29290,-0.18,-0.25,9.88,0.007,-0.022,0.011,12.437,34.78,100436.1,27.52,74.1,DISTANCE
29300,0.08,0.10,9.74,-0.012,-0.004,0.010,12.437,34.79,100436.0,27.52,74.1,DISTANCE
29310,-0.02,0.02,9.74,0.004,-0.009,0.013,12.436,34.80,100435.9,27.52,74.1,DISTANCE
29320,0.26,-0.03,9.72,0.006,0.011,0.006,12.436,34.81,100435.8,27.52,74.1,DISTANCE
29330,-0.17,-0.16,9.86,-0.001,-0.017,0.017,12.436,34.82,100435.7,27.52,74.1,DISTANCE
29340,0.02,0.11,9.88,-0.023,0.019,0.017,12.436,34.83,100435.6,27.52,74.1,DISTANCE
29350,0.06,-0.19,9.75,-0.011,-0.017,0.003,12.436,34.84,100435.5,27.52,74.1,DISTANCE
29360,0.09,0.09,9.96,0.013,-0.002,0.011,12.436,34.85,100435.3,27.52,74.1,DISTANCE
29370,-0.19,0.05,9.73,-0.009,0.017,0.009,12.436,34.86,100435.2,27.52,74.1,DISTANCE
29380,-0.14,-0.08,9.78,-0.013,-0.006,0.003,12.436,34.87,100435.1,27.52,74.2,DISTANCE
29390,0.20,-0.16,10.00,-0.006,0.009,0.003,12.436,34.88,100435.0,27.52,74.2,DISTANCE
29400,0.23,0.05,9.95,-0.022,0.012,0.017,12.436,34.89,100434.9,27.52,74.2,DISTANCE
29410,0.26,0.18,9.75,0.005,-0.019,0.008,12.436,34.90,100434.8,27.52,74.2,DISTANCE
29420,0.20,0.11,9.98,0.014,-0.009,0.012,12.436,34.91,100434.7,27.52,74.2,DISTANCE
29430,-0.11,0.07,9.81,-0.015,0.016,0.008,12.436,34.91,100434.5,27.52,74.2,DISTANCE
29440,-0.21,0.09,9.77,0.023,-0.009,0.017,12.436,34.92,100434.4,27.52,74.2,DISTANCE
29450,-0.21,0.06,9.88,-0.018,0.023,0.008,12.436,34.93,100434.3,27.52,74.2,DISTANCE
29460,0.29,0.25,9.80,-0.005,-0.011,0.006,12.436,34.94,100434.2,27.52,74.2,DISTANCE
29470,0.28,-0.23,9.76,0.024,-0.019,0.003,12.436,34.95,100434.1,27.52,74.2,DISTANCE
29480,0.10,-0.27,9.80,-0.011,0.003,0.000,12.436,34.96,100434.0,27.52,74.3,DISTANCE
29490,-0.25,0.20,9.75,-0.015,-0.018,0.014,12.436,34.97,100433.8,27.52,74.3,DISTANCE
29500,0.01,0.20,9.78,0.013,0.009,0.017,12.436,34.98,100433.7,27.52,74.3,DISTANCE
29510,-0.10,-0.30,9.95,-0.023,0.020,0.006,12.436,34.99,100433.6,27.52,74.3,DISTANCE
29520,0.03,-0.11,9.77,-0.002,-0.007,0.016,12.435,35.00,100433.5,27.52,74.3,DISTANCE
29530,0.18,0.09,9.98,0.017,0.005,0.017,12.435,35.01,100433.4,27.52,74.3,DISTANCE
29540,-0.15,0.02,9.75,0.024,-0.014,-0.000,12.435,35.02,100433.3,27.52,74.3,DISTANCE
29550,-0.26,-0.07,9.77,-0.022,-0.020,0.008,12.435,35.03,100433.1,27.52,74.3,DISTANCE
29560,0.22,0.07,9.90,0.025,-0.005,0.016,12.435,35.03,100433.0,27.52,74.3,DISTANCE
29570,-0.06,-0.19,9.84,-0.005,0.003,0.016,12.435,35.04,100432.9,27.52,74.3,DISTANCE
29580,-0.06,0.30,9.81,-0.003,-0.013,0.011,12.435,35.05,100432.8,27.52,74.4,DISTANCE
29590,-0.26,0.25,9.84,-0.024,-0.009,-0.001,12.435,35.06,100432.7,27.52,74.4,DISTANCE
29600,0.25,-0.20,9.89,0.009,0.015,0.016,12.435,35.07,100432.5,27.52,74.4,DISTANCE
29610,0.23,0.20,9.88,-0.000,-0.012,0.005,12.435,35.08,100432.4,27.52,74.4,DISTANCE
29620,-0.23,-0.27,10.00,0.011,0.007,0.017,12.435,35.09,100432.3,27.52,74.4,DISTANCE
29630,-0.26,-0.29,9.83,-0.004,0.020,0.007,12.435,35.10,100432.2,27.52,74.4,DISTANCE
29640,-0.28,-0.23,9.96,0.023,0.011,0.003,12.435,35.11,100432.1,27.52,74.4,DISTANCE
29650,0.03,0.08,9.81,-0.019,0.015,0.014,12.435,35.11,100431.9,27.52,74.4,DISTANCE
29660,0.16,0.26,9.79,0.019,-0.022,0.016,12.435,35.12,100431.8,27.52,74.4,DISTANCE
29670,0.19,-0.22,9.92,0.002,0.012,0.018,12.435,35.13,100431.7,27.52,74.4,DISTANCE
29680,0.27,0.05,9.98,-0.022,0.016,0.003,12.435,35.14,100431.6,27.52,74.5,DISTANCE
29690,-0.24,0.05,9.77,-0.017,0.023,0.000,12.435,35.15,100431.5,27.52,74.5,DISTANCE
29700,0.04,-0.29,9.94,-0.011,-0.017,0.013,12.435,35.16,100431.3,27.52,74.5,DISTANCE
29710,-0.30,0.05,9.88,0.023,-0.001,0.017,12.435,35.16,100431.2,27.52,74.5,DISTANCE
29720,0.11,-0.18,9.90,0.012,0.003,0.008,12.435,35.17,100431.1,27.52,74.5,DISTANCE
29730,-0.03,0.05,9.90,-0.017,-0.008,0.002,12.435,35.18,100431.0,27.52,74.5,DISTANCE
29740,0.03,0.11,9.77,-0.020,-0.007,0.012,12.435,35.19,100430.9,27.52,74.5,DISTANCE
29750,0.10,-0.04,9.72,-0.007,-0.016,0.007,12.434,35.20,100430.7,27.52,74.5,DISTANCE
29760,-0.19,-0.16,9.89,0.010,-0.019,0.018,12.434,35.21,100430.6,27.52,74.5,DISTANCE
29770,0.04,0.29,9.96,0.003,0.011,0.007,12.434,35.21,100430.5,27.52,74.5,DISTANCE
29780,-0.11,-0.24,9.84,-0.002,-0.023,0.011,12.434,35.22,100430.4,27.52,74.6,DISTANCE
29790,-0.12,0.05,9.72,0.010,0.013,0.012,12.434,35.23,100430.2,27.52,74.6,DISTANCE
29800,-0.08,-0.28,10.00,-0.002,0.013,0.013,12.434,35.24,100430.1,27.52,74.6,DISTANCE
29810,-0.14,0.12,9.75,-0.022,0.007,0.011,12.434,35.25,100430.0,27.52,74.6,DISTANCE
29820,0.18,0.17,9.84,0.003,0.000,0.012,12.434,35.25,100429.9,27.52,74.6,DISTANCE
29830,-0.08,0.13,9.79,0.012,0.004,0.004,12.434,35.26,100429.7,27.52,74.6,DISTANCE
29840,-0.01,0.03,9.76,0.015,-0.011,0.013,12.434,35.27,100429.6,27.52,74.6,DISTANCE
29850,-0.12,-0.12,9.96,0.013,0.016,0.001,12.434,35.28,100429.5,27.51,74.6,DISTANCE
29860,-0.17,-0.22,9.83,-0.013,-0.004,0.003,12.434,35.29,100429.4,27.51,74.6,DISTANCE
29870,-0.14,-0.24,9.83,0.021,0.022,0.007,12.434,35.29,100429.3,27.51,74.6,DISTANCE
29880,-0.17,0.00,9.85,-0.003,-0.003,0.008,12.434,35.30,100429.1,27.51,74.7,DISTANCE
29890,-0.15,0.04,9.96,0.021,0.013,0.001,12.434,35.31,100429.0,27.51,74.7,DISTANCE
29900,-0.18,-0.27,9.75,-0.013,0.008,0.015,12.434,35.32,100428.9,27.51,74.7,DISTANCE
29910,-0.30,0.13,9.76,0.024,0.014,-0.001,12.434,35.32,100428.8,27.51,74.7,DISTANCE
29920,0.28,-0.08,9.87,0.008,-0.021,-0.001,12.434,35.33,100428.6,27.51,74.7,DISTANCE
29930,-0.14,0.02,9.88,-0.022,0.001,0.004,12.434,35.34,100428.5,27.51,74.7,DISTANCE
29940,0.09,-0.06,9.96,0.012,-0.005,0.002,12.434,35.35,100428.4,27.51,74.7,DISTANCE
29950,0.12,-0.26,9.85,0.015,-0.009,0.014,12.434,35.35,100428.2,27.51,74.7,DISTANCE
29960,0.16,0.17,9.81,0.020,0.021,0.009,12.434,35.36,100428.1,27.51,74.7,DISTANCE
29970,-0.20,-0.11,9.75,0.015,-0.022,0.012,12.434,35.37,100428.0,27.51,74.8,DISTANCE
29980,0.28,0.02,9.99,-0.017,0.013,0.010,12.434,35.38,100427.9,27.51,74.8,DISTANCE
29990,-0.29,-0.18,9.86,0.011,-0.020,0.010,12.433,35.38,100427.7,27.51,74.8,DISTANCE
30000,0.05,0.06,9.78,-0.024,0.009,0.003,12.433,35.39,100427.6,27.51,74.8,DISTANCE
30010,-0.09,-0.14,9.84,-0.003,-0.024,0.016,12.433,35.40,100427.5,27.51,74.8,DISTANCE
30020,0.22,-0.24,9.82,0.011,0.014,0.012,12.433,35.41,100427.4,27.51,74.8,DISTANCE
30030,0.28,0.16,9.71,-0.022,-0.009,0.001,12.433,35.41,100427.2,27.51,74.8,DISTANCE
30040,-0.09,0.02,9.74,-0.006,-0.018,0.008,12.433,35.42,100427.1,27.51,74.8,DISTANCE
30050,-0.10,-0.19,9.94,0.012,0.004,0.005,12.433,35.43,100427.0,27.51,74.8,DISTANCE
30060,0.28,-0.21,9.91,-0.001,-0.012,0.011,12.433,35.43,100426.8,27.51,74.8,DISTANCE
30070,-0.25,-0.25,9.73,0.008,-0.011,0.004,12.433,35.44,100426.7,27.51,74.9,DISTANCE
30080,0.29,-0.18,9.75,-0.017,0.024,0.005,12.433,35.45,100426.6,27.51,74.9,DISTANCE
30090,-0.23,0.11,9.96,0.000,0.002,-0.001,12.433,35.45,100426.5,27.51,74.9,DISTANCE
30100,-0.23,0.24,9.85,0.001,0.023,0.010,12.433,35.46,100426.3,27.51,74.9,DISTANCE
30110,-0.28,-0.30,9.78,0.017,-0.020,0.007,12.433,35.47,100426.2,27.51,74.9,DISTANCE
30120,0.22,0.11,9.94,0.021,0.004,0.014,12.433,35.47,100426.1,27.51,74.9,DISTANCE
30130,-0.04,0.10,9.81,0.011,0.017,0.016,12.433,35.48,100425.9,27.51,74.9,DISTANCE
30140,0.23,0.11,9.99,0.008,-0.001,0.018,12.433,35.49,100425.8,27.51,74.9,DISTANCE
30150,-0.09,-0.12,9.77,0.025,-0.010,0.003,12.433,35.49,100425.7,27.51,74.9,DISTANCE
30160,0.18,-0.03,9.80,-0.018,-0.016,0.002,12.433,35.50,100425.5,27.51,75.0,DISTANCE
30170,0.12,-0.20,9.97,-0.001,0.006,0.012,12.433,35.51,100425.4,27.51,75.0,DISTANCE
30180,0.14,0.10,9.99,-0.016,0.023,0.014,12.433,35.51,100425.3,27.51,75.0,DISTANCE
30190,-0.03,0.20,9.83,0.015,-0.021,0.009,12.433,35.52,100425.2,27.51,75.0,DISTANCE
30200,-0.02,0.21,9.74,0.004,-0.024,0.002,12.433,35.53,100425.0,27.51,75.0,DISTANCE
30210,-0.00,0.14,9.94,-0.016,0.016,-0.000,12.433,35.53,100424.9,27.51,75.0,DISTANCE
30220,0.00,-0.09,9.72,0.023,-0.019,0.008,12.433,35.54,100424.8,27.51,75.0,DISTANCE
30230,0.23,-0.12,9.96,0.007,0.019,0.017,12.433,35.55,100424.6,27.51,75.0,DISTANCE
30240,0.18,0.13,9.80,-0.016,0.024,0.014,12.433,35.55,100424.5,27.51,75.0,DISTANCE
30250,0.01,0.10,9.97,-0.020,0.006,-0.000,12.433,35.56,100424.4,27.51,75.1,DISTANCE
30260,-0.05,-0.18,9.84,-0.014,0.023,0.006,12.432,35.56,100424.2,27.51,75.1,DISTANCE
30270,-0.05,-0.10,9.76,0.017,0.024,0.008,12.432,35.57,100424.1,27.51,75.1,DISTANCE
30280,-0.17,-0.25,9.93,-0.000,0.004,0.009,12.432,35.58,100424.0,27.51,75.1,DISTANCE
30290,0.01,-0.24,9.80,0.025,0.013,-0.001,12.432,35.58,100423.8,27.51,75.1,DISTANCE
30300,0.26,-0.04,9.90,0.021,-0.000,0.010,12.432,35.59,100423.7,27.51,75.1,DISTANCE
30310,-0.09,0.17,9.98,0.024,-0.019,0.016,12.432,35.59,100423.6,27.51,75.1,DISTANCE
30320,0.23,-0.22,9.78,0.005,0.004,0.011,12.432,35.60,100423.4,27.51,75.1,DISTANCE
30330,0.13,0.12,9.86,0.003,-0.012,0.007,12.432,35.61,100423.3,27.51,75.1,DISTANCE
30340,0.03,-0.19,10.01,-0.003,0.004,0.012,12.432,35.61,100423.2,27.51,75.2,DISTANCE
30350,0.01,0.09,9.90,-0.003,-0.009,0.014,12.432,35.62,100423.0,27.51,75.2,DISTANCE
30360,0.28,-0.22,10.00,0.023,-0.011,0.014,12.432,35.62,100422.9,27.51,75.2,DISTANCE
30370,0.07,0.25,9.81,-0.006,-0.021,0.005,12.432,35.63,100422.8,27.51,75.2,DISTANCE
30380,-0.26,-0.06,9.93,-0.025,-0.023,0.005,12.432,35.64,100422.6,27.51,75.2,DISTANCE
30390,-0.23,0.14,9.76,-0.016,-0.018,0.016,12.432,35.64,100422.5,27.51,75.2,DISTANCE
30400,0.01,-0.29,9.76,0.006,0.001,0.006,12.432,35.65,100422.4,27.51,75.2,DISTANCE
30410,-0.13,-0.08,9.93,0.022,0.020,0.001,12.432,35.65,100422.2,27.51,75.2,DISTANCE
30420,0.09,0.04,9.72,0.011,-0.011,0.014,12.432,35.66,100422.1,27.51,75.2,DISTANCE
30430,-0.01,0.20,9.85,-0.014,-0.003,0.001,12.432,35.66,100422.0,27.51,75.3,DISTANCE
30440,-0.05,-0.16,9.96,-0.006,0.012,0.003,12.432,35.67,100421.8,27.51,75.3,DISTANCE
30450,0.14,0.02,9.72,-0.004,0.020,0.011,12.432,35.67,100421.7,27.51,75.3,DISTANCE
30460,0.14,0.02,9.97,0.010,0.020,0.004,12.432,35.68,100421.5,27.51,75.3,DISTANCE
30470,-0.15,-0.23,9.73,0.003,-0.014,0.007,12.432,35.68,100421.4,27.51,75.3,DISTANCE
30480,0.16,0.04,10.01,0.020,0.007,0.016,12.432,35.69,100421.3,27.51,75.3,DISTANCE
30490,0.29,-0.20,9.80,0.000,0.002,0.013,12.432,35.69,100421.1,27.51,75.3,DISTANCE
30500,-0.08,-0.01,9.90,0.005,-0.008,0.017,12.432,35.70,100421.0,27.51,75.3,DISTANCE
30510,0.03,0.27,9.86,0.025,-0.013,0.019,12.432,35.70,100420.9,27.51,75.3,DISTANCE
30520,0.23,-0.23,9.86,0.022,-0.002,0.002,12.432,35.71,100420.7,27.51,75.4,DISTANCE
30530,-0.26,-0.25,9.89,-0.011,0.018,0.019,12.432,35.71,100420.6,27.51,75.4,DISTANCE
30540,0.22,-0.17,10.01,-0.002,-0.001,0.016,12.432,35.72,100420.5,27.51,75.4,DISTANCE
30550,0.05,-0.03,9.92,0.013,-0.002,0.009,12.432,35.72,100420.3,27.51,75.4,DISTANCE
30560,0.19,0.25,9.75,0.022,0.020,-0.000,12.432,35.73,100420.2,27.51,75.4,DISTANCE
